GI number	Length	Count
GI:238478305	36	0
GI:15223293	293	7
GI:79316226	294	7
GI:15223294	428	3
GI:145323700	112	9
GI:15223303	112	9
GI:30677886	112	9
GI:145323698	96	9
GI:186478000	527	11
GI:18378797	364	4
GI:238478307	38	0
GI:22329274	528	22
GI:15223314	180	2
GI:15223317	447	50
GI:30677898	449	50
GI:30677901	451	50
GI:15223319	345	1
GI:18378803	195	3
GI:238478309	229	3
GI:15223334	83	3
GI:79316234	83	3
GI:15223338	478	1
GI:15223341	535	39
GI:30677910	237	50
GI:15223344	106	2
GI:18378810	1055	1
GI:18378812	260	6
GI:18378814	157	3
GI:42571289	331	4
GI:18378816	331	4
GI:42571291	331	4
GI:18378818	192	18
GI:15223363	590	11
GI:145323702	590	11
GI:15223365	510	50
GI:15223367	270	2
GI:238478311	270	2
GI:15223368	485	38
GI:186478007	141	1
GI:42561586	241	18
GI:42561588	1797	4
GI:18378827	706	25
GI:186478011	343	4
GI:186478013	228	2
GI:18378830	187	15
GI:79316243	178	18
GI:18378832	178	18
GI:15223390	83	3
GI:15223392	480	46
GI:15223393	204	1
GI:15223395	361	5
GI:15223396	481	46
GI:30678135	456	29
GI:15223406	664	4
GI:15223409	470	5
GI:186478020	267	4
GI:186478022	289	4
GI:42561591	427	12
GI:15223413	151	2
GI:186478024	71	1
GI:15223414	496	13
GI:30678140	390	12
GI:79316252	177	2
GI:15223416	177	2
GI:18378846	327	6
GI:18378848	636	1
GI:15223419	287	11
GI:15223420	247	5
GI:30678150	386	50
GI:15223428	472	50
GI:18378853	349	6
GI:79316260	349	6
GI:186478029	369	50
GI:42561597	275	50
GI:15223433	478	13
GI:15223434	725	8
GI:15223435	704	8
GI:15223436	554	33
GI:15223437	503	9
GI:145323704	214	24
GI:15223438	286	29
GI:15223439	255	4
GI:15223447	207	6
GI:30678163	207	6
GI:79316275	398	7
GI:79333554	540	8
GI:15223450	568	11
GI:30678166	365	6
GI:30678171	308	5
GI:145334960	449	1
GI:186478033	433	6
GI:15223455	485	15
GI:30678177	427	3
GI:15223456	289	50
GI:18378874	62	1
GI:18378876	224	1
GI:15223469	483	41
GI:15223471	140	15
GI:186478036	420	1
GI:30678186	632	1
GI:15223476	205	12
GI:186478038	1193	7
GI:18378884	295	8
GI:145323706	260	8
GI:15223479	160	1
GI:18378887	235	6
GI:18378889	574	8
GI:145323710	574	8
GI:145323708	574	8
GI:18378891	152	1
GI:15220982	343	2
GI:15223502	570	3
GI:30678198	774	50
GI:186478042	249	5
GI:145323712	353	7
GI:30678203	353	7
GI:18378897	353	7
GI:79316282	303	7
GI:42561607	572	2
GI:79316289	547	2
GI:18378900	580	1
GI:30678211	160	23
GI:30678214	894	50
GI:238478317	877	50
GI:238478319	915	50
GI:15217579	1750	5
GI:15217583	409	2
GI:15217586	541	28
GI:18378907	245	1
GI:15217591	434	6
GI:145334974	673	3
GI:22329282	642	2
GI:42571293	543	2
GI:15217595	267	2
GI:15217596	324	3
GI:15217605	395	4
GI:15217608	710	12
GI:42571295	246	2
GI:22329284	333	27
GI:18378917	131	2
GI:186478045	48	0
GI:42561615	2378	1
GI:30678240	225	3
GI:42571297	237	3
GI:18378920	260	3
GI:42571299	306	3
GI:22329288	332	3
GI:42571301	332	3
GI:15217620	679	6
GI:79334443	598	1
GI:15217622	203	50
GI:15217623	150	1
GI:145323718	497	4
GI:145323714	493	4
GI:186478048	332	4
GI:186478051	453	4
GI:22329290	524	13
GI:145323720	91	2
GI:15217646	71	2
GI:30678252	367	8
GI:30678256	226	1
GI:42571303	623	7
GI:42561618	627	7
GI:30678265	625	7
GI:145361948	461	7
GI:15217676	87	1
GI:15217677	394	13
GI:145334985	359	50
GI:15217699	350	25
GI:42561620	502	1
GI:18378941	484	4
GI:15217705	297	11
GI:186478055	297	11
GI:15217706	443	2
GI:18378945	379	7
GI:18378947	362	13
GI:30678275	411	8
GI:15217728	48	1
GI:18378951	279	1
GI:145323722	219	35
GI:18378953	292	1
GI:15217732	140	1
GI:15217733	272	12
GI:15217734	537	9
GI:30678287	209	2
GI:18378959	530	9
GI:186478059	51	1
GI:15217753	329	23
GI:22329293	134	1
GI:15217755	287	1
GI:15217756	491	7
GI:145334994	190	16
GI:18378965	190	16
GI:30678304	142	1
GI:18378969	491	50
GI:18378971	220	4
GI:145323724	221	4
GI:18378973	219	4
GI:15217762	38	0
GI:15217781	393	7
GI:30678312	393	7
GI:15217783	284	6
GI:15217785	1278	36
GI:15217786	1273	36
GI:15217787	290	1
GI:15217788	242	2
GI:18378982	298	10
GI:15217790	431	2
GI:18378985	689	3
GI:15217792	89	2
GI:15217818	146	2
GI:15217820	122	5
GI:79316296	345	5
GI:15217822	389	6
GI:18378991	768	7
GI:15217824	513	4
GI:18378994	713	3
GI:15217826	678	10
GI:42561637	126	1
GI:15217828	538	14
GI:42571305	539	14
GI:18378999	247	2
GI:15217850	96	1
GI:42571307	361	15
GI:15217851	361	15
GI:15217853	1181	20
GI:145335003	327	2
GI:145335005	221	7
GI:30678368	316	17
GI:15218602	214	3
GI:15218607	422	50
GI:15218612	501	26
GI:18379010	579	50
GI:18379012	149	4
GI:18379014	166	4
GI:15218614	91	2
GI:15218615	127	5
GI:30678395	285	9
GI:30678391	303	9
GI:30678398	303	9
GI:18379020	470	50
