GI number	Length	Count
GI:15219291	70	1
GI:42572167	355	10
GI:18412263	358	9
GI:15219295	413	7
GI:15219296	134	4
GI:145337741	830	1
GI:30699397	239	2
GI:15219312	84	1
GI:15219313	294	50
GI:240254401	1335	1
GI:18412298	159	1
GI:145327739	235	18
GI:15219317	235	18
GI:145327741	235	18
GI:18412304	399	1
GI:18412307	379	6
GI:145327745	322	6
GI:145327743	282	6
GI:42563343	555	49
GI:18412314	166	1
GI:18412316	528	21
GI:186496370	2093	1
GI:42563346	403	8
GI:15219340	368	7
GI:15219342	410	9
GI:15219345	418	9
GI:42563348	1299	1
GI:15219351	527	6
GI:22330739	546	19
GI:18412353	401	12
GI:18412355	126	1
GI:15219371	783	3
GI:15219373	515	6
GI:18412368	417	9
GI:18412370	293	16
GI:30699418	358	29
GI:15219379	528	20
GI:18412377	350	7
GI:42572169	283	7
GI:15219383	785	3
GI:15219385	503	2
GI:79386560	397	5
GI:186496420	396	5
GI:15219388	836	2
GI:42572171	290	8
GI:15219400	290	8
GI:79321478	290	8
GI:30699423	290	8
GI:238479116	336	8
GI:42572173	275	4
GI:18412399	275	4
GI:30699426	402	4
GI:15219406	422	10
GI:15219409	780	13
GI:15219412	401	5
GI:30699430	401	5
GI:18412421	1008	46
GI:15219417	1248	50
GI:15219419	371	50
GI:42572177	371	50
GI:42572175	371	50
GI:79321486	233	7
GI:18412435	233	7
GI:18412437	711	14
GI:22330742	535	6
GI:30699436	971	49
GI:42572179	394	22
GI:79321495	421	22
GI:22330744	504	22
GI:240254403	687	47
GI:30699439	371	8
GI:42572181	351	8
GI:22330746	365	8
GI:18412461	93	2
GI:30699443	714	50
GI:15219445	751	50
GI:15219447	769	50
GI:18412472	772	1
GI:42563360	303	23
GI:145327747	313	23
GI:15219976	497	5
GI:18412482	484	20
GI:22330753	589	1
GI:240254405	651	5
GI:15219980	646	6
GI:15219981	299	1
GI:18412503	167	2
GI:145337773	187	2
GI:42572183	198	2
GI:18412511	245	2
GI:15219998	192	4
GI:18412518	333	2
GI:42572185	282	2
GI:30699453	495	30
GI:79321503	447	10
GI:30699455	495	30
GI:186496537	956	2
GI:145337778	956	2
GI:18412529	747	20
GI:15220003	149	1
GI:15220004	515	15
GI:15220005	313	6
GI:42572189	357	5
GI:42572187	345	5
GI:30699461	399	5
GI:15220007	882	2
GI:15220023	296	5
GI:22330757	381	8
GI:79321511	367	4
GI:240254407	312	1
GI:240254409	831	18
GI:240254411	831	18
GI:79321519	789	18
GI:15220026	831	18
GI:145337785	687	4
GI:186496567	687	4
GI:186496571	687	4
GI:42563365	1040	3
GI:15220029	294	1
GI:42572191	218	2
GI:18412581	240	2
GI:240254415	1135	9
GI:240254413	152	3
GI:238479134	152	3
GI:238479136	912	7
GI:238479130	920	7
GI:18412590	605	4
GI:42572193	605	4
GI:186496585	725	11
GI:18412605	500	12
GI:30699481	500	12
GI:30699483	500	12
GI:42572195	180	2
GI:18412607	248	3
GI:15220047	192	7
GI:15220048	243	4
GI:15220049	2382	2
GI:15220050	496	50
GI:15220051	402	2
GI:186496603	154	6
GI:186496605	132	5
GI:240254417	257	13
GI:15220064	210	4
GI:18412668	305	4
GI:145327749	99	1
GI:15220066	336	50
GI:15220068	397	15
GI:18412683	167	5
GI:145327751	141	5
GI:18412685	444	50
GI:18412687	138	4
GI:15220076	201	1
GI:15220078	234	2
GI:145337792	406	4
GI:186496625	371	4
GI:15220091	255	12
GI:15220092	171	4
GI:15220093	370	13
GI:18412725	127	5
GI:42572197	127	5
GI:145327753	127	5
GI:145337796	995	2
GI:15220095	596	8
GI:42572199	596	8
GI:145327755	596	8
GI:15220097	647	7
GI:145327757	337	2
GI:18412743	329	2
GI:15220099	624	2
GI:15220100	464	2
GI:15220115	320	10
GI:15220116	355	39
GI:15220117	347	45
GI:15220118	523	50
GI:15220119	394	1
GI:15220120	461	22
GI:30699506	456	3
GI:18412831	362	3
GI:145327759	364	3
GI:15220124	179	18
GI:15220126	407	11
GI:22330770	897	1
GI:22330772	353	3
GI:145327761	353	3
GI:30699510	353	3
GI:18412854	354	4
GI:15220141	177	1
GI:79321536	482	2
GI:15220142	522	2
GI:145337807	481	49
GI:15220146	444	3
GI:42570257	1120	11
GI:145337810	1119	11
GI:145337812	135	1
GI:18412864	489	6
GI:15220154	192	2
GI:15220164	561	16
GI:240254420	538	4
GI:15220166	448	5
GI:145327763	130	6
GI:15220167	405	12
GI:42572201	480	3
GI:18412871	467	3
GI:42572203	467	3
GI:15220171	256	2
GI:15220174	235	7
GI:15220176	457	5
GI:22330774	211	2
GI:30699526	414	2
GI:18412879	578	1
GI:145327765	359	50
GI:42563378	427	50
GI:15220196	198	1
GI:15220197	954	12
GI:15220198	349	4
GI:30699531	1046	4
GI:18412886	227	9
GI:15220203	214	2
GI:15220206	516	1
GI:18412890	190	3
GI:15220823	228	3
GI:18412893	791	7
GI:145328230	102	2
GI:15220825	247	8
GI:15220826	305	12
GI:15220827	451	1
GI:30699538	274	13
GI:15220828	274	13
GI:15220829	634	11
GI:145337827	773	8
GI:145328232	774	8
GI:15220833	332	28
GI:15220858	532	6
GI:186496794	36	0
GI:15220859	302	10
GI:15220860	327	8
GI:18412906	164	2
GI:42570261	164	2
GI:22330779	130	1
GI:15220862	692	50
GI:15220863	540	2
GI:15220864	80	2
GI:18412911	443	16
GI:15220866	497	3
GI:15220868	163	1
GI:15220892	900	2
GI:18412916	213	2
GI:42572205	175	2
GI:18412918	398	2
GI:42572207	486	6
GI:42572209	462	6
GI:42563387	486	6
GI:42563389	214	2
GI:15220897	214	2
GI:15220898	229	2
GI:186498421	33	0
GI:186498423	39	0
GI:15226168	515	1
GI:42570623	237	19
GI:15226170	286	30
GI:186498438	452	5
GI:42568843	496	5
GI:18379145	231	1
GI:15226177	62	3
GI:42570625	247	3
GI:18379151	247	3
GI:30677872	247	3
GI:18379153	340	1
GI:240254423	418	1
GI:79548544	1113	21
GI:15226185	391	14
GI:18379162	147	2
GI:42570627	437	2
GI:18379164	516	2
GI:42570629	62	1
GI:42570631	302	9
GI:18379166	327	9
GI:18379168	720	13
GI:42570633	191	3
GI:42568851	143	3
GI:15226197	716	43
GI:30677890	387	3
GI:30677893	388	3
GI:15226209	160	1
GI:145328234	184	8
GI:15226212	242	8
GI:18379188	369	14
GI:79316305	267	9
GI:42570635	324	14
GI:18379190	495	3
GI:79316317	259	16
GI:22325409	259	16
GI:42568854	561	4
GI:15226223	265	3
GI:15226225	156	2
GI:15226226	53	1
GI:30677907	728	29
GI:42570637	725	29
GI:15226227	725	29
GI:30677905	727	29
GI:42568857	474	2
GI:30677912	215	4
GI:42570639	281	4
GI:145328238	327	4
GI:18379203	348	4
GI:145328236	342	4
GI:79548894	158	2
GI:15226249	252	9
GI:42568859	577	9
GI:18379213	146	1
GI:15226267	387	2
GI:30677920	616	11
GI:18379216	612	11
GI:30677923	275	10
GI:186498546	973	3
GI:79316349	486	50
GI:30677926	486	50
GI:79316359	486	50
GI:79316341	486	50
GI:240254425	962	3
GI:15226281	393	3
GI:15226282	567	37
GI:18379234	283	1
GI:18379236	271	4
GI:22325412	103	1
GI:15226299	584	50
GI:18379240	151	12
GI:18379244	151	12
GI:15226306	180	19
GI:186498577	105	1
GI:145359814	301	1
GI:15226311	587	27
GI:15226312	191	4
GI:18379259	174	1
GI:18379261	571	12
GI:15226321	222	14
GI:18379265	292	3
GI:145328240	391	50
GI:18379267	501	50
GI:18379269	156	1
GI:18379271	458	1
GI:18379273	288	6
GI:42570641	259	6
GI:186498602	33	0
GI:18379275	182	9
GI:18379277	532	8
GI:42570643	744	2
GI:18379279	743	2
GI:18379283	311	20
GI:15226341	464	2
GI:30677952	613	4
GI:30677954	359	7
GI:15226343	559	10
GI:15226344	629	5
GI:79577675	173	1
GI:15226345	382	13
GI:15226346	250	1
GI:15226347	275	4
GI:15226355	269	38
GI:186498626	249	7
GI:15226357	304	9
GI:186498629	281	7
GI:15226359	697	4
GI:145328242	222	6
GI:15226361	943	46
GI:18379305	1057	8
GI:42570645	1057	8
GI:30677959	1080	8
GI:15226364	333	34
GI:42568870	486	1
GI:18379315	157	1
GI:22325417	328	7
GI:22325419	335	7
GI:42570647	307	7
GI:15226375	417	17
GI:79316384	234	1
GI:79549632	608	11
GI:79316393	567	11
GI:79316402	138	1
GI:79316410	187	1
GI:15226378	312	4
GI:42570649	283	16
GI:18391534	283	16
GI:145328244	446	21
GI:79549667	445	21
GI:145322966	356	21
GI:15226381	1143	49
GI:30677968	260	2
GI:15226383	592	11
GI:22325422	1146	2
GI:79549706	213	2
GI:15226852	500	8
GI:15226854	493	8
GI:15226856	545	48
GI:238479148	103	1
GI:186498683	59	1
GI:15226859	334	14
GI:15226861	585	46
GI:18395290	103	1
GI:186498690	256	5
GI:186498694	408	10
GI:15226866	602	25
GI:186498702	439	21
GI:30677977	516	23
GI:15226870	763	31
GI:15226872	77	4
GI:186498709	403	15
GI:15226876	77	4
GI:15226878	77	4
GI:15226880	73	1
GI:79316504	80	1
GI:30677982	1141	21
GI:18395319	669	1
GI:145328246	486	5
GI:18395321	486	5
GI:18395323	303	4
GI:15227264	1008	49
GI:79549908	336	14
GI:42570651	320	14
GI:186498740	310	15
GI:15226921	144	1
GI:15226925	302	12
GI:15226928	284	14
GI:15226931	307	14
GI:15226933	307	14
GI:15226936	305	14
GI:30677990	191	10
GI:15226939	272	15
GI:145328248	320	6
GI:18395356	320	6
GI:15226949	223	4
GI:42570653	228	4
GI:15226952	221	4
GI:42570267	191	4
GI:15226955	318	27
GI:30677998	308	1
GI:15226963	138	1
GI:30678000	379	50
GI:30678002	414	50
GI:15226967	256	9
GI:18395372	1218	6
GI:79550120	305	1
GI:238479150	108	1
GI:18395376	302	1
GI:15226987	72	2
GI:18395379	91	1
GI:15226989	211	9
GI:15226993	310	12
GI:186498800	146	2
GI:238479152	200	2
GI:22325430	1219	2
GI:79316548	1217	2
GI:30678010	300	4
GI:79316567	288	4
GI:30678012	300	4
GI:145328250	300	4
GI:15227003	500	50
GI:15227004	324	1
GI:15227006	627	50
GI:30678017	513	50
GI:42568878	440	50
GI:15227010	627	50
GI:15227011	365	6
GI:15227012	421	41
GI:15227014	649	50
GI:22325432	623	50
GI:15227023	499	50
GI:42570655	358	9
GI:18395411	399	9
GI:30678020	397	9
GI:15227026	455	27
GI:42570657	276	5
GI:15227027	276	5
GI:42568881	268	4
GI:145328252	267	4
GI:15227029	613	46
GI:18395424	152	41
GI:240254427	661	12
GI:30678025	753	13
GI:42568886	636	7
GI:22325434	168	1
GI:42570659	426	50
GI:15227042	426	50
GI:18395434	332	4
GI:79550509	455	6
GI:79316590	484	6
GI:22325436	198	4
GI:15227047	155	4
GI:15227048	129	1
GI:42570661	464	12
GI:15227049	594	12
GI:79316620	467	10
GI:15227057	467	10
GI:79316634	467	10
GI:15227059	314	2
GI:15227061	531	36
GI:42568889	460	9
GI:15227063	212	17
GI:18395453	439	2
GI:22325438	666	1
GI:42570663	271	16
GI:15227065	271	16
GI:42570665	271	16
GI:30678036	271	16
GI:42570667	275	15
GI:18395457	555	7
GI:15227067	603	50
GI:15227068	230	5
GI:15227513	535	1
GI:240254429	368	6
GI:42568891	255	6
GI:42570669	247	6
GI:15227520	204	50
GI:15227522	166	9
GI:42568893	283	6
GI:145359860	332	4
GI:145328254	386	9
GI:30678041	524	1
GI:22325441	253	33
GI:79550843	153	6
GI:18395487	344	1
GI:15227539	110	2
GI:15227541	1805	3
GI:42568895	1340	1
GI:18395495	200	17
GI:18395497	149	18
GI:15227548	120	1
GI:18395500	170	18
GI:30678047	461	31
GI:15227563	539	12
GI:15227566	558	12
GI:15227569	152	1
GI:240254432	823	11
GI:42568900	756	11
GI:30678050	807	12
GI:18395518	639	15
GI:42568902	481	37
GI:79316655	508	36
GI:186499015	213	10
GI:15227595	203	50
GI:30678053	176	1
GI:15227600	101	1
GI:15227601	385	2
GI:15227612	513	37
GI:18395537	179	5
GI:186499036	455	8
GI:186499027	451	8
GI:79551059	452	8
GI:15227623	689	49
GI:42568906	330	1
GI:15227629	348	5
GI:18395549	170	1
GI:30678058	240	1
GI:15227642	187	2
GI:15227645	651	4
GI:79551132	257	32
GI:42570671	449	4
GI:15227651	450	4
GI:42570673	595	43
GI:42568908	606	43
GI:18395562	432	8
GI:22325443	168	5
GI:18395564	356	1
GI:186499082	401	11
GI:145328256	398	11
GI:145359873	398	11
GI:15227669	312	18
GI:240254434	453	24
GI:238479163	66	1
GI:15227673	89	1
GI:15227675	144	3
GI:18395580	390	11
GI:186499092	256	11
GI:186499094	279	11
GI:186499096	174	11
GI:15227678	216	7
GI:15227679	421	15
GI:186499098	421	15
GI:238479165	198	2
GI:15227680	252	2
GI:79316663	423	8
GI:30678068	422	9
GI:186499124	610	1
GI:15227690	603	50
GI:238479167	119	5
GI:15227691	119	5
GI:15227693	226	1
GI:42570675	187	50
GI:30678072	257	50
GI:15227694	258	50
GI:15227695	165	5
GI:79316674	456	15
GI:18395601	456	15
GI:15227697	189	2
GI:18395604	351	17
GI:15227699	326	17
GI:15227704	324	17
GI:30678076	287	1
GI:42568915	317	1
GI:30678079	439	4
GI:79316683	439	4
GI:42570677	439	4
GI:186499149	439	4
GI:15227711	516	1
GI:238479169	88	1
GI:186499155	57	1
GI:15227712	123	1
GI:15227713	278	2
GI:18395620	191	2
GI:30678085	99	2
GI:15227722	99	2
GI:15227724	630	50
GI:42570679	530	10
GI:18395629	650	10
GI:79316691	73	3
GI:42570681	164	3
GI:79321545	90	1
GI:79321562	75	5
GI:186499179	49	1
GI:79321582	75	4
GI:79321599	81	4
GI:79321622	59	1
GI:79321638	61	2
GI:79321647	77	4
GI:15228051	367	49
GI:15228057	261	49
GI:42568920	110	1
GI:30678090	777	9
GI:15228059	780	9
GI:15228062	365	17
GI:79321655	92	2
GI:145328260	151	10
GI:22325449	157	10
GI:22325451	151	10
GI:79321676	111	2
GI:79321686	110	2
GI:15228067	166	5
GI:18395648	199	3
GI:145328262	206	3
GI:30678093	165	3
GI:15228071	476	49
GI:15228073	476	50
GI:15228075	469	18
GI:15228076	112	1
GI:15228077	171	26
GI:186499234	476	49
GI:30678096	476	50
GI:15228085	483	45
GI:22325453	483	46
GI:22325457	772	50
GI:186499264	298	22
GI:186499261	298	22
GI:238479171	369	18
GI:42568925	420	18
GI:79321702	420	18
GI:42568927	411	19
GI:15228105	307	8
GI:42568929	448	50
GI:240254436	1253	1
GI:42570685	162	2
GI:15228108	162	2
GI:30678102	996	3
GI:30678104	871	3
GI:30678106	619	4
GI:22325461	713	4
GI:18395698	568	3
GI:15228118	851	50
GI:22325463	434	1
GI:18395716	173	1
GI:30678112	720	11
GI:15228136	720	11
GI:42568932	320	1
GI:15228139	82	1
GI:15228140	143	1
GI:186499295	143	2
GI:186499299	146	2
GI:15228141	141	8
GI:22325465	158	4
GI:15228142	402	3
GI:145359900	73	1
GI:15228144	221	13
GI:79321724	101	1
GI:79552110	302	10
GI:15228146	215	10
GI:15228147	283	10
GI:15228149	247	2
GI:22325467	202	2
GI:42568935	495	50
GI:22325469	196	2
GI:15228152	145	3
GI:22325471	354	2
GI:22325473	461	5
GI:42568937	257	2
GI:145362106	178	2
GI:186499332	455	1
GI:15228157	350	50
GI:22325475	798	1
GI:186499335	81	1
GI:15224039	144	2
GI:22325477	406	7
GI:30678127	865	0
GI:18395811	67	1
GI:15224044	657	50
GI:22325479	210	2
GI:145328264	203	2
GI:15224046	146	1
GI:42568941	578	1
GI:15224051	652	7
GI:30678131	254	8
GI:18395849	254	8
GI:145328266	100	4
GI:42570691	164	4
GI:79321733	100	4
GI:30678133	152	4
GI:18395858	95	2
GI:79321744	78	2
GI:15224402	78	2
GI:15224404	397	14
GI:15224409	100	3
GI:15224411	389	9
GI:22325483	650	3
GI:145328268	191	2
GI:18395874	218	2
GI:18395877	404	10
GI:15224419	582	48
GI:186499405	77	1
GI:22325485	667	4
GI:15224421	72	1
GI:15224423	487	29
GI:30678145	463	29
GI:15224425	413	23
GI:186499419	98	2
GI:18395895	128	2
GI:15224429	124	3
GI:238479176	104	5
GI:18395904	376	50
GI:79321753	90	2
GI:15224433	277	12
GI:18395909	392	1
GI:238479178	193	7
GI:15224463	315	41
GI:15224465	265	21
GI:15224471	265	21
GI:79321776	90	2
GI:240254438	1285	1
GI:15224475	162	2
GI:15224480	536	11
GI:18395981	932	1
GI:15224484	442	50
GI:42570699	88	2
GI:186499452	467	5
GI:186499448	467	5
GI:79552734	467	5
GI:18395997	140	8
GI:79321790	140	8
GI:18396002	706	30
GI:18396006	706	30
GI:18396010	358	9
GI:145328270	294	10
GI:15224500	34	0
GI:186499471	30	0
GI:18396025	125	2
GI:30678181	430	1
GI:15224510	215	6
GI:79321803	101	1
GI:15224521	453	1
GI:15224522	358	4
GI:15224523	211	3
GI:238479184	143	3
GI:186499491	102	3
GI:18396043	116	4
GI:186499498	194	38
GI:30678184	194	38
GI:15224527	265	38
GI:15224528	297	41
GI:15224529	188	2
GI:79321851	131	1
GI:30678191	154	1
GI:79321960	133	1
GI:79321868	147	1
GI:79321992	114	1
GI:79321894	140	1
GI:15224540	127	1
GI:79321923	113	3
GI:15224546	88	1
GI:186499538	101	1
GI:79322008	104	1
GI:79322055	90	1
GI:15224547	127	2
GI:186499541	93	1
GI:145328272	99	2
GI:15224548	145	1
GI:79322170	111	5
GI:79322119	125	5
GI:79322145	124	5
GI:186499562	117	5
GI:79322087	138	3
GI:15224559	115	5
GI:15224560	135	1
GI:15224564	302	1
GI:18396126	263	3
GI:30678208	303	3
GI:15224566	239	2
GI:18396137	133	1
GI:15224577	120	14
GI:238479187	164	14
GI:186499579	52	1
GI:42570705	146	3
GI:186499586	532	2
GI:22325493	204	1
GI:30678219	990	5
GI:15224970	276	2
GI:22325495	197	1
GI:18396156	401	1
GI:238479189	74	1
GI:15224977	520	18
GI:186499598	44	0
GI:30678225	472	50
GI:186499606	45	0
GI:30678229	580	8
GI:15224987	580	8
GI:18396170	374	4
GI:145328274	328	4
GI:79322184	326	4
GI:42570709	326	4
GI:79322198	220	18
GI:15224993	246	18
GI:15224995	487	49
GI:15225005	312	10
GI:15225013	191	2
GI:22325499	116	1
GI:18396193	754	50
GI:15225019	462	50
GI:15225027	377	20
GI:18396215	390	2
GI:30678246	390	2
GI:15225031	536	32
GI:42570711	536	32
GI:18396221	355	4
GI:79600893	282	4
GI:18396223	188	1
GI:15225039	301	3
GI:30678254	288	1
GI:145359938	762	2
GI:42570715	391	10
GI:15225045	391	10
GI:145328276	391	10
GI:15225050	135	2
GI:22325504	116	1
GI:79322206	103	2
GI:18396273	244	5
GI:240254442	1091	1
GI:18396289	109	4
GI:42568971	249	1
GI:15225128	582	7
GI:42570719	617	6
GI:15225129	640	6
GI:18396349	116	1
GI:18396352	225	4
GI:238479195	564	11
GI:238479193	592	11
GI:22325512	159	1
GI:15225132	277	2
GI:15225147	163	2
GI:186499701	62	1
GI:22325518	315	2
GI:15225605	296	34
GI:22325522	217	4
GI:22325524	123	1
GI:22325526	137	1
GI:18396422	148	1
GI:15225626	148	3
GI:79322223	87	1
GI:18396436	995	4
GI:15225638	30	0
GI:42568974	700	50
GI:42568976	647	32
GI:15225650	759	15
GI:15225666	150	6
GI:15225667	353	23
GI:240254445	442	50
GI:238479200	384	50
GI:79553691	820	6
GI:22325532	442	50
GI:15225676	452	1
GI:238479202	151	1
GI:22325534	245	2
GI:186499759	874	1
GI:240254447	400	1
GI:15225695	134	1
GI:15225697	263	1
GI:30678388	127	2
GI:30678386	128	2
GI:42568981	1196	1
GI:186499768	41	0
GI:186499772	49	1
GI:15225720	136	3
GI:15225743	143	1
GI:186499782	49	1
GI:15225747	949	15
GI:15226036	156	2
GI:42570723	256	3
GI:42570725	273	4
GI:42570727	109	2
GI:42570018	246	3
GI:42570729	262	3
GI:42568983	85	3
GI:42570731	91	1
GI:22325549	159	2
GI:186499812	36	0
GI:18396619	106	2
GI:42568985	251	3
GI:22325554	118	2
GI:15226054	125	4
GI:18396626	118	2
GI:238479207	154	2
GI:18396632	245	2
GI:79322231	109	1
GI:22325560	57	1
GI:18396637	256	3
GI:22325565	179	1
GI:22325569	116	1
GI:15226079	265	2
GI:22325571	214	2
GI:15226083	136	2
GI:15226085	136	2
GI:15226090	291	3
GI:42570733	99	2
GI:15226091	148	2
GI:238479209	238	2
GI:15226092	777	4
GI:238479211	218	2
GI:15226093	106	3
GI:22325573	152	3
GI:15226095	66	1
GI:42568988	306	2
GI:15226097	158	2
GI:15226098	141	2
GI:15226099	122	2
GI:15226100	196	5
GI:15226111	307	2
GI:15226112	313	4
GI:15226113	161	2
GI:15226114	132	1
GI:15226115	139	3
GI:186499910	86	1
GI:15226116	107	2
GI:15226127	185	2
GI:15226128	393	3
GI:15226129	286	1
GI:186499922	88	1
GI:238479213	116	3
GI:15226130	362	2
GI:186499931	65	1
GI:238479215	177	2
GI:238479217	179	2
GI:186499935	40	0
GI:42570735	105	1
GI:22325575	128	1
GI:238479219	212	2
GI:238479221	213	2
GI:15226142	88	1
GI:79322241	109	1
GI:15226143	199	4
GI:186499963	52	1
GI:15226144	385	3
GI:240254450	1251	24
GI:15226146	727	8
GI:15226161	845	40
GI:15226162	530	2
GI:30678522	413	6
GI:186499981	1218	6
GI:30678550	153	1
GI:186499995	62	1
GI:15226648	163	4
GI:15226673	166	3
GI:15226676	146	4
GI:186500004	57	1
GI:15226693	66	1
GI:238479225	547	8
GI:238479227	523	8
GI:15226746	85	1
GI:15226772	935	3
GI:238479229	845	3
GI:18396845	82	1
GI:79322249	83	1
GI:15226798	170	2
GI:186500030	57	1
GI:15226799	278	3
GI:22325590	155	1
GI:42570743	135	1
GI:15227357	65	1
GI:15227358	149	1
GI:186500053	66	1
GI:30678667	291	6
GI:18396941	291	6
GI:18396945	336	3
GI:22325598	249	2
GI:18396947	194	1
GI:22325600	133	1
GI:186500070	713	1
GI:79554506	728	2
GI:22325604	170	1
GI:15227379	693	16
GI:22325606	146	4
GI:22325613	154	6
GI:15227425	83	1
GI:186500084	41	0
GI:22325617	115	1
GI:22325619	144	1
GI:18397027	510	50
GI:186500093	41	0
GI:15227488	305	1
GI:15227507	491	4
GI:22325621	110	3
GI:22325623	242	1
GI:186500105	45	0
GI:186500109	35	0
GI:186500113	55	1
GI:186500120	362	5
GI:18397057	465	5
GI:186500123	73	1
GI:18397064	210	2
GI:79322270	173	2
GI:186500134	55	1
GI:30678790	168	2
GI:18397066	168	2
GI:15224374	115	1
GI:15224379	512	20
GI:15224382	63	3
GI:15224406	90	3
GI:15224408	133	2
GI:30678837	541	4
GI:22325635	116	1
GI:186500154	44	0
GI:79322278	249	1
GI:79322285	83	1
GI:79322293	85	1
GI:42569004	442	37
GI:79322302	443	35
GI:42569006	562	1
GI:186500167	58	1
GI:79322310	256	14
GI:22325645	325	1
GI:15224897	119	1
GI:18397171	264	9
GI:22325647	72	1
GI:22325649	147	1
GI:240254452	294	9
GI:22325651	117	1
GI:186500190	54	1
GI:30678883	493	7
GI:238479233	329	7
GI:238479235	307	7
GI:22325655	124	1
GI:42570749	60	1
GI:15224966	262	9
GI:186500202	85	1
GI:186500206	41	0
GI:42570751	361	7
GI:15225001	361	7
GI:145328278	109	1
GI:15225023	401	5
GI:15225026	401	2
GI:30678921	401	2
GI:186500223	47	0
GI:145359958	1724	25
GI:186500229	34	0
GI:15225034	180	1
GI:15225046	723	1
GI:15225048	394	15
GI:186500245	61	1
GI:15225051	338	16
GI:15225052	284	15
GI:18397263	848	1
GI:79322318	76	1
GI:186500255	70	1
GI:15225435	181	1
GI:15225438	623	6
GI:15225440	215	18
GI:15225445	697	50
GI:15225446	649	25
GI:15225447	821	28
GI:186500273	80	1
GI:15225448	297	6
GI:15225452	384	6
GI:18397301	333	3
GI:30678967	284	3
GI:15225458	177	1
GI:42570271	1923	14
GI:18397316	544	4
GI:15225481	223	1
GI:15225487	209	3
GI:145359962	343	1
GI:30678986	620	50
GI:42569013	601	50
GI:18397344	456	2
GI:42570753	129	4
GI:15225509	169	4
GI:18397349	434	1
GI:238479237	233	35
GI:15225531	661	50
GI:15225540	517	50
GI:30679022	150	9
GI:145328280	115	9
GI:15225554	171	2
GI:15225559	346	4
GI:22325671	122	2
GI:30679043	122	2
GI:186500321	646	8
GI:15225569	359	27
GI:15225570	196	1
GI:15227238	1215	50
GI:18397433	234	1
GI:15225585	518	50
GI:79555268	190	1
GI:18397440	780	14
GI:238479240	809	13
GI:42569021	780	14
GI:145359968	85	1
GI:145328282	498	9
GI:15225601	607	9
GI:145328284	595	9
GI:186500355	31	0
GI:15225607	234	50
GI:42570757	78	1
GI:186500357	536	2
GI:42570761	329	2
GI:30679088	380	2
GI:238479242	114	1
GI:79322327	97	3
GI:145328286	61	2
GI:186500366	246	2
GI:186500370	35	0
GI:15225627	353	22
GI:79322334	76	1
GI:145328288	120	9
GI:15225652	262	1
GI:15225938	886	50
GI:15225942	41	0
GI:15225948	347	18
GI:15225949	868	50
GI:42569036	423	8
GI:15225951	412	18
